game_id,team_id,opponent,points_scored,fast_break_points_for,fast_break_points_against,turnover_points_for,turnover_points_against,second_chance_points_for,second_chance_points_against,defensive_rebounds_for,defensive_rebounds_against,offensive_rebounds_for,offensive_rebounds_against,turnovers_for,turnovers_against,steals_for,steals_against,assists_for,assists_against,3P%_for,3P%_against,2P%_for,2P%_against,FT%_for,PFR_for,PFD_against,3PR_for,3PR_against,FTR_for,FTR_against,PACE,ORtg,DRtg,eFG%,TS%
E2016_022_b,BAR,RED,72,2,7,13,14,12,7,23,19,8,6,13,12,9,7,19,16,32.0,35.294117647058826,51.42857142857143,60.0,71.42857142857143,22.4278104850014,25.231286795626577,41.66666666666666,29.82456140350877,11.666666666666666,26.31578947368421,71.34,91.1129800953182,106.53209980375664,50.0,51.52187698161065
E2016_023_a,ULK,ZAL,73,7,2,14,13,7,12,19,23,6,8,12,13,7,9,16,19,37.74556935347224,37.74556935347224,51.86417142469145,51.86417142469145,75.66217653478454,29.70625505382304,29.43657383432774,36.96109082521589,36.96109082521589,32.02419653570032,32.02419653570032,71.72665396825397,110.49973070828942,110.49973070828942,53.592021065705524,57.54506993352511
E2016_023_b,ZAL,ULK,78,11,17,15,7,10,11,26,24,18,8,11,13,6,7,18,16,37.74556935347224,37.74556935347224,51.86417142469145,51.86417142469145,75.66217653478454,29.70625505382304,29.43657383432774,36.96109082521589,36.96109082521589,32.02419653570032,32.02419653570032,71.72665396825397,110.49973070828942,110.49973070828942,53.592021065705524,57.54506993352511
E2016_024_a,TEL,GAL,82,7,11,13,14,9,15,25,24,10,13,12,9,5,8,17,20,37.74556935347224,37.74556935347224,51.86417142469145,51.86417142469145,75.66217653478454,29.70625505382304,29.43657383432774,36.96109082521589,36.96109082521589,32.02419653570032,32.02419653570032,71.72665396825397,110.49973070828942,110.49973070828942,53.592021065705524,57.54506993352511
E2016_024_b,GAL,TEL,83,9,8,18,17,11,10,22,22,12,8,12,14,8,7,21,18,37.74556935347224,37.74556935347224,51.86417142469145,51.86417142469145,75.66217653478454,29.70625505382304,29.43657383432774,36.96109082521589,36.96109082521589,32.02419653570032,32.02419653570032,71.72665396825397,110.49973070828942,110.49973070828942,53.592021065705524,57.54506993352511
E2016_025_a,CSK,UNK,93,6,13,15,16,10,17,25,23,9,17,15,17,3,5,23,27,37.74556935347224,37.74556935347224,51.86417142469145,51.86417142469145,75.66217653478454,29.70625505382304,29.43657383432774,36.96109082521589,36.96109082521589,32.02419653570032,32.02419653570032,71.72665396825397,110.49973070828942,110.49973070828942,53.592021065705524,57.54506993352511
E2016_025_b,UNK,CSK,87,0,2,11,16,22,12,19,13,19,9,18,8,4,8,15,15,37.74556935347224,37.74556935347224,51.86417142469145,51.86417142469145,75.66217653478454,29.70625505382304,29.43657383432774,36.96109082521589,36.96109082521589,32.02419653570032,32.02419653570032,71.72665396825397,110.49973070828942,110.49973070828942,53.592021065705524,57.54506993352511
E2016_026_a,DAR,IST,94,2,0,16,11,12,22,13,19,9,19,8,18,8,4,15,15,37.74556935347224,37.74556935347224,51.86417142469145,51.86417142469145,75.66217653478454,29.70625505382304,29.43657383432774,36.96109082521589,36.96109082521589,32.02419653570032,32.02419653570032,71.72665396825397,110.49973070828942,110.49973070828942,53.592021065705524,57.54506993352511
E2016_026_b,IST,DAR,87,13,6,16,15,17,10,23,25,17,9,17,15,5,3,27,23,37.74556935347224,37.74556935347224,51.86417142469145,51.86417142469145,75.66217653478454,29.70625505382304,29.43657383432774,36.96109082521589,36.96109082521589,32.02419653570032,32.02419653570032,71.72665396825397,110.49973070828942,110.49973070828942,53.592021065705524,57.54506993352511
E2016_027_a,MIL,MAD,81,16,12,17,9,8,15,21,25,8,17,11,14,10,6,16,13,37.74556935347224,37.74556935347224,51.86417142469145,51.86417142469145,75.66217653478454,29.70625505382304,29.43657383432774,36.96109082521589,36.96109082521589,32.02419653570032,32.02419653570032,71.72665396825397,110.49973070828942,110.49973070828942,53.592021065705524,57.54506993352511
E2016_027_b,MAD,MIL,87,6,6,9,15,15,12,26,24,9,12,13,14,7,7,15,16,37.74556935347224,37.74556935347224,51.86417142469145,51.86417142469145,75.66217653478454,29.70625505382304,29.43657383432774,36.96109082521589,36.96109082521589,32.02419653570032,32.02419653570032,71.72665396825397,110.49973070828942,110.49973070828942,53.592021065705524,57.54506993352511
E2016_028_a,BAS,OLY,91,6,6,15,9,12,15,24,26,12,9,14,13,7,7,16,15,50.0,53.333333333333336,50.0,50.0,75.0,33.057851239669425,22.03856749311295,33.333333333333336,50.0,11.11111111111111,36.66666666666666,72.6,123.96694214876034,130.85399449035813,58.333333333333336,59.58686440677966
E2016_028_b,OLY,BAS,91,12,16,9,17,15,8,25,21,17,8,14,11,6,10,13,16,53.333333333333336,50.0,50.0,50.0,77.27272727272727,22.03856749311295,31.680440771349865,50.0,33.333333333333336,36.66666666666666,11.11111111111111,72.6,130.85399449035813,123.96694214876034,65.0,68.16877152698048
E2016_029_a,BAR,BAM,65,5,17,10,21,14,4,22,20,11,7,21,13,7,13,19,28,42.85714285714285,36.36363636363637,55.0,60.0,69.56521739130434,24.195844007970397,29.88898377455166,25.925925925925927,38.59649122807018,42.5925925925926,17.54385964912281,70.26,111.01622544833477,105.32308568175348,57.407407407407405,60.82345601996256
E2016_029_b,BAM,BAR,83,1,8,8,11,14,7,21,22,9,8,7,7,3,4,12,19,36.36363636363637,42.85714285714285,60.0,55.0,80.0,29.88898377455166,24.195844007970397,38.59649122807018,25.925925925925927,17.54385964912281,42.5925925925926,70.26,105.32308568175348,111.01622544833477,57.89473684210526,60.26058631921824
E2016_030_a,GAL,ULK,92,7,6,13,11,16,16,21,21,14,14,16,9,6,9,23,19,37.74556935347224,37.74556935347224,51.86417142469145,51.86417142469145,75.66217653478454,29.70625505382304,29.43657383432774,36.96109082521589,36.96109082521589,32.02419653570032,32.02419653570032,71.72665396825397,110.49973070828942,110.49973070828942,53.592021065705524,57.54506993352511
E2016_030_b,ULK,GAL,82,0,5,15,6,10,16,21,19,9,11,12,14,5,3,22,17,37.74556935347224,37.74556935347224,51.86417142469145,51.86417142469145,75.66217653478454,29.70625505382304,29.43657383432774,36.96109082521589,36.96109082521589,32.02419653570032,32.02419653570032,71.72665396825397,110.49973070828942,110.49973070828942,53.592021065705524,57.54506993352511
E2016_031_a,PAN,RED,84,8,1,11,8,7,14,22,21,8,9,7,7,4,3,19,12,37.74556935347224,37.74556935347224,51.86417142469145,51.86417142469145,75.66217653478454,29.70625505382304,29.43657383432774,36.96109082521589,36.96109082521589,32.02419653570032,32.02419653570032,71.72665396825397,110.49973070828942,110.49973070828942,53.592021065705524,57.54506993352511
