game_id,score
E2017_111_a,79
E2017_111_b,68
E2017_112_a,74
E2017_112_b,71
E2017_113_a,77
E2017_113_b,79
E2017_114_a,78
E2017_114_b,89
E2017_115_a,67
E2017_115_b,63
E2017_116_a,74
E2017_116_b,68
E2017_117_a,69
E2017_117_b,58
E2017_118_a,81
E2017_118_b,90
E2017_119_a,88
E2017_119_b,91
E2017_120_a,65
E2017_120_b,79
E2017_121_a,90
E2017_121_b,79
E2017_122_a,83
E2017_122_b,85
E2017_123_a,85
E2017_123_b,72
E2017_124_a,70
E2017_124_b,74
E2017_125_a,77
E2017_125_b,65
E2017_126_a,79
E2017_126_b,74
E2017_127_a,87
E2017_127_b,80
E2017_128_a,93
E2017_128_b,81
E2017_129_a,104
E2017_129_b,95
E2017_130_a,81
E2017_130_b,107
E2017_131_a,90
E2017_131_b,88
E2017_132_a,84
E2017_132_b,75
E2017_133_a,67
E2017_133_b,80
E2017_134_a,78
E2017_134_b,95
E2017_135_a,86
E2017_135_b,54
E2017_136_a,79
E2017_136_b,77
E2017_137_a,93
E2017_137_b,86
E2017_138_a,70
E2017_138_b,79
E2017_139_a,94
E2017_139_b,64
E2017_140_a,81
E2017_140_b,76
E2017_141_a,110
E2017_141_b,79
E2017_142_a,101
E2017_142_b,87
E2017_143_a,67
E2017_143_b,62
E2017_144_a,75
E2017_144_b,73
E2017_145_a,81
E2017_145_b,66
E2017_146_a,82
E2017_146_b,54
E2017_147_a,89
E2017_147_b,75
E2017_148_a,86
E2017_148_b,82
E2017_149_a,84
E2017_149_b,89
E2017_150_a,82
E2017_150_b,83
E2017_151_a,70
E2017_151_b,75
E2017_152_a,80
E2017_152_b,75
E2017_153_a,83
E2017_153_b,85
E2017_154_a,85
E2017_154_b,83
E2017_155_a,87
E2017_155_b,68
E2017_156_a,94
E2017_156_b,93
E2017_157_a,89
E2017_157_b,78
E2017_158_a,81
E2017_158_b,72
E2017_159_a,102
E2017_159_b,111
E2017_160_a,86
E2017_160_b,82
E2017_161_a,82
E2017_161_b,66
E2017_162_a,93
E2017_162_b,87
E2017_163_a,81
E2017_163_b,83
E2017_164_a,95
E2017_164_b,70
E2017_165_a,99
E2017_165_b,84
E2017_166_a,103
E2017_166_b,84
E2017_167_a,95
E2017_167_b,74
E2017_168_a,68
E2017_168_b,66
E2017_169_a,94
E2017_169_b,82
E2017_170_a,80
E2017_170_b,76
E2017_171_a,79
E2017_171_b,68
E2017_172_a,103
E2017_172_b,99
E2017_173_a,100
E2017_173_b,89
E2017_174_a,77
E2017_174_b,69
E2017_175_a,79
E2017_175_b,80
E2017_176_a,74
E2017_176_b,84
E2017_177_a,93
E2017_177_b,86
E2017_178_a,89
E2017_178_b,70
E2017_179_a,80
E2017_179_b,70
E2017_180_a,83
E2017_180_b,69
E2017_181_a,70
E2017_181_b,86
E2017_182_a,86
E2017_182_b,62
E2017_183_a,74
E2017_183_b,101
E2017_184_a,78
E2017_184_b,61
E2017_185_a,87
E2017_185_b,77
E2017_186_a,77
E2017_186_b,64
E2017_187_a,73
E2017_187_b,93
E2017_188_a,90
E2017_188_b,74
E2017_189_a,80
E2017_189_b,76
E2017_190_a,85
E2017_190_b,87
E2017_191_a,83
E2017_191_b,86
E2017_192_a,86
E2017_192_b,70
E2017_193_a,81
E2017_193_b,94
E2017_194_a,77
E2017_194_b,86
E2017_195_a,92
E2017_195_b,75
E2017_196_a,71
E2017_196_b,81
E2017_197_a,88
E2017_197_b,54
E2017_198_a,101
E2017_198_b,76
E2017_199_a,87
E2017_199_b,79
E2017_200_a,78
E2017_200_b,85
E2017_201_a,84
E2017_201_b,64
E2017_202_a,88
E2017_202_b,79
E2017_203_a,91
E2017_203_b,94
E2017_204_a,63
E2017_204_b,90
E2017_205_a,106
E2017_205_b,90
E2017_206_a,77
E2017_206_b,88
E2017_207_a,79
E2017_207_b,81
E2017_208_a,79
E2017_208_b,90
E2017_209_a,87
E2017_209_b,73
E2017_210_a,91
E2017_210_b,71
E2017_211_a,96
E2017_211_b,88
E2017_212_a,77
E2017_212_b,65
E2017_213_a,73
E2017_213_b,85
E2017_214_a,103
E2017_214_b,79
E2017_215_a,89
E2017_215_b,81
E2017_216_a,95
E2017_216_b,91
E2017_217_a,63
E2017_217_b,80
E2017_218_a,89
E2017_218_b,93
E2017_219_a,75
E2017_219_b,76
E2017_220_a,88
E2017_220_b,81
E2017_221_a,93
E2017_221_b,88
E2017_222_a,73
E2017_222_b,86
E2017_223_a,73
E2017_223_b,90
E2017_224_a,89
E2017_224_b,82
E2017_225_a,83
E2017_225_b,107
E2017_226_a,83
E2017_226_b,72
E2017_227_a,78
E2017_227_b,83
E2017_228_a,64
E2017_228_b,73
E2017_229_a,79
E2017_229_b,82
E2017_230_a,75
E2017_230_b,56
E2017_231_a,87
E2017_231_b,85
E2017_232_a,85
E2017_232_b,73
E2017_233_a,79
E2017_233_b,81
E2017_234_a,95
E2017_234_b,96
E2017_235_a,86
E2017_235_b,82
E2017_236_a,91
E2017_236_b,99
E2017_237_a,92
E2017_237_b,81
E2017_238_a,85
E2017_238_b,86
E2017_239_a,106
E2017_239_b,86
E2017_240_a,87
E2017_240_b,84
